loan_amnt,term,int_rate,installment,grade,sub_grade,annual_inc,verification_status,issue_d,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,mort_acc,pub_rec_bankruptcies,issue_year,issue_month,credit_history_years,loan_status,default_flag,default_stage,cluster_id,risk_cluster
14000.0,60.0,14.49,329.33,C,C4,80000.0,Source Verified,2014-10-01,debt_consolidation,17.04,1989-01-01,10.0,0.0,12223.0,63.7,2.0,0.0,2014,10,25.75,Charged Off,1,default,1,high_risk
6050.0,36.0,16.29,213.57,D,D2,20400.0,Verified,2014-10-01,debt_consolidation,28.08,2004-03-01,11.0,0.0,2577.0,13.3,0.0,0.0,2014,10,10.58,Fully Paid,0,non_default,2,low_risk
20775.0,36.0,18.24,753.57,D,D5,65000.0,Source Verified,2014-10-01,other,15.3,2008-06-01,9.0,0.0,21872.0,36.5,0.0,0.0,2014,10,6.33,Fully Paid,0,non_default,2,low_risk
6000.0,36.0,13.99,205.04,C,C4,38848.0,Verified,2015-04-01,credit_card,16.59,1984-12-01,17.0,4.0,6873.0,38.2,5.0,3.0,2015,4,30.33,Charged Off,1,default,1,high_risk
17450.0,36.0,13.11,588.89,B,B4,65000.0,Not Verified,2013-03-01,credit_card,12.06,1992-04-01,11.0,0.0,30557.0,47.8,1.0,0.0,2013,3,20.91,Fully Paid,0,non_default,2,low_risk
16800.0,36.0,7.62,523.52,A,A3,99000.0,Verified,2013-10-01,debt_consolidation,16.52,1991-01-01,12.0,0.0,12367.0,40.5,1.0,0.0,2013,10,22.75,Fully Paid,0,non_default,0,medium_risk
12000.0,36.0,12.99,404.27,C,C2,80000.0,Source Verified,2016-06-01,debt_consolidation,23.19,1997-11-01,15.0,1.0,13655.0,68.3,4.0,1.0,2016,6,18.58,Fully Paid,0,non_default,2,low_risk
25000.0,36.0,6.99,771.82,A,A3,157500.0,Verified,2015-01-01,debt_consolidation,13.43,2000-03-01,15.0,0.0,29959.0,67.9,0.0,0.0,2015,1,14.84,Fully Paid,0,non_default,0,medium_risk
10000.0,36.0,14.33,343.39,C,C1,140000.0,Verified,2013-05-01,debt_consolidation,19.22,2001-05-01,19.0,0.0,8810.0,28.9,6.0,0.0,2013,5,12.0,Fully Paid,0,non_default,0,medium_risk
1525.0,36.0,9.99,49.21,B,B3,15000.0,Not Verified,2015-05-01,debt_consolidation,35.04,1993-01-01,13.0,0.0,11506.0,41.5,1.0,0.0,2015,5,22.33,Fully Paid,0,non_default,2,low_risk
6000.0,36.0,12.12,199.63,B,B3,50000.0,Verified,2012-07-01,credit_card,30.82,1990-05-01,8.0,0.0,13250.0,62.8,5.0,0.0,2012,7,22.17,Fully Paid,0,non_default,2,low_risk
25000.0,36.0,7.12,773.3,A,A3,65000.0,Source Verified,2014-10-01,debt_consolidation,26.5,2003-02-01,18.0,0.0,13513.0,27.6,3.0,0.0,2014,10,11.66,Fully Paid,0,non_default,2,low_risk
9250.0,36.0,9.91,298.09,B,B1,90000.0,Source Verified,2012-02-01,debt_consolidation,12.87,2001-11-01,11.0,0.0,27539.0,62.7,0.0,0.0,2012,2,10.25,Fully Paid,0,non_default,2,low_risk
2000.0,36.0,13.35,67.73,C,C2,75000.0,Not Verified,2014-10-01,moving,11.47,1997-11-01,11.0,0.0,2621.0,7.9,0.0,0.0,2014,10,16.91,Fully Paid,0,non_default,2,low_risk
16000.0,36.0,6.03,486.97,A,A1,150000.0,Source Verified,2014-02-01,debt_consolidation,7.98,1997-03-01,16.0,0.0,8606.0,6.1,5.0,0.0,2014,2,16.92,Fully Paid,0,non_default,0,medium_risk
10575.0,36.0,17.57,380.04,D,D4,39360.0,Not Verified,2015-04-01,debt_consolidation,36.98,1994-11-01,15.0,0.0,43962.0,67.7,3.0,0.0,2015,4,20.41,Fully Paid,0,non_default,2,low_risk
24000.0,60.0,21.0,649.29,E,E2,79000.0,Verified,2012-12-01,debt_consolidation,23.04,2001-09-01,14.0,0.0,28450.0,80.1,2.0,0.0,2012,12,11.25,Fully Paid,0,non_default,0,medium_risk
8000.0,36.0,12.12,266.18,B,B3,77564.0,Source Verified,2012-03-01,credit_card,12.92,1995-02-01,4.0,0.0,7775.0,97.2,0.0,0.0,2012,3,17.08,Fully Paid,0,non_default,2,low_risk
9550.0,36.0,16.49,338.07,D,D3,32000.0,Not Verified,2014-11-01,debt_consolidation,29.22,1996-05-01,7.0,0.0,5193.0,57.1,1.0,0.0,2014,11,18.5,Charged Off,1,default,1,high_risk
23500.0,60.0,12.69,530.98,C,C2,60000.0,Source Verified,2015-08-01,credit_card,25.58,1999-04-01,13.0,0.0,25106.0,69.2,3.0,0.0,2015,8,16.33,Fully Paid,0,non_default,0,medium_risk
6500.0,36.0,12.39,217.11,C,C1,70000.0,Source Verified,2015-01-01,car,30.72,2001-03-01,19.0,0.0,20708.0,61.8,1.0,0.0,2015,1,13.84,Fully Paid,0,non_default,2,low_risk
20000.0,36.0,11.53,659.81,B,B5,57000.0,Source Verified,2015-09-01,credit_card,16.17,2005-06-01,16.0,0.0,20316.0,60.1,0.0,0.0,2015,9,10.25,Fully Paid,0,non_default,2,low_risk
10000.0,36.0,14.09,342.22,B,B5,34000.0,Not Verified,2012-12-01,debt_consolidation,15.95,1996-07-01,8.0,0.0,9463.0,50.6,2.0,0.0,2012,12,16.42,Fully Paid,0,non_default,2,low_risk
20000.0,36.0,12.49,668.98,B,B5,96000.0,Source Verified,2014-07-01,debt_consolidation,12.83,1995-05-01,25.0,1.0,11215.0,32.8,1.0,0.0,2014,7,19.17,Fully Paid,0,non_default,0,medium_risk
15000.0,60.0,16.55,369.17,D,D2,37000.0,Verified,2015-03-01,debt_consolidation,34.61,2003-09-01,10.0,0.0,36297.0,97.1,4.0,0.0,2015,3,11.5,Fully Paid,0,non_default,2,low_risk
11000.0,36.0,22.15,420.95,E,E5,40000.0,Verified,2014-09-01,debt_consolidation,17.22,2005-06-01,13.0,0.0,5407.0,65.1,0.0,0.0,2014,9,9.25,Fully Paid,0,non_default,2,low_risk
31825.0,36.0,15.31,1108.07,C,C2,80000.0,Verified,2012-10-01,debt_consolidation,25.94,1994-11-01,7.0,0.0,42071.0,66.7,2.0,0.0,2012,10,17.92,Fully Paid,0,non_default,0,medium_risk
